Serial No.,College Name,Question,Answer
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],No data found,No data found
502,Swami Rama Himalayan University - [SRHU],No data found,No data found
503,Srinivas University,No data found,No data found
504,East West College of Engineering - [EWCE],No data found,No data found
505,Global Group of Institutes,No data found,No data found
506,Priyadarshini College of Engineering - [PCE],No data found,No data found
507,Jeppiaar Institute of Technology - [JIT],No data found,No data found
508,Seacom Skills University - [SSU],No data found,No data found
509,SRM University,No data found,No data found
510,University of Technology - [UOT],No data found,No data found
511,CT University - [CTU],No data found,No data found
512,Malla Reddy College of Engineering for Women - [MRCEW],No data found,No data found
513,Adichunchanagiri University - [ACU],No data found,No data found
514,Bhabha University - [BU],No data found,No data found
515,Sant Baba Bhag Singh University - [SBBSU],No data found,No data found
516,Shivajirao Kadam Group of Colleges,No data found,No data found
517,Rai University - [RU],No data found,No data found
518,Shri Krishna University - [SKU],No data found,No data found
519,Anand Institute of Higher Technology - [AIHT],No data found,No data found
520,Arunai Engineering College - [AEC],No data found,No data found
521,Bharati Vidyapeeth College of Engineering - [BVCOE],No data found,No data found
522,DMI College of Engineering - [DMICE],No data found,No data found
523,Dayananda Sagar Academy of Technology and Management - [DSATM],No data found,No data found
524,Dhole Patil College of Engineering - [DPCOE],No data found,No data found
525,Don Bosco Institute of Technology - [DBIT],No data found,No data found
526,Dronacharya Group of Institutions - [DGI],No data found,No data found
527,Gandhinagar Institute of Technology - [GIT],No data found,No data found
528,HMR Institute of Technology & Management - [HMRITM],No data found,No data found
529,Indore Institute of Science and Technology - [IIST],"Which college is better for CS - TIT Main, LNCT Indore, Oriental University or IIST Indore?","Lakshmi Narain College of Technology is ranked at 39th position out of 191 colleges in India by The Week. Technocrats Institute of Technology has the 3rd position in Madhya Pradesh according to The Week. Oriental University is the 1st self-financed private university in Indore. Indore Institute of Science and Technology (IIST) is affiliated to Rajiv Gandhi Proudyogiki Vishwavidyalaya (RGPV) for its B Tech courses.
LNCT:
LNCT offers a BTech CSE program. The Computer Science Engineering department started with only 60 students.
The department has over 10 computer laboratories with updated software and network connection.
Travel grants and abroad studies funding is provided by the university for its students.
Placements:
Amdocs, Polaris, Global Logic, Aricent, Microsoft, Amazon, Accenture, L&T Infotech, Mphasis are some of the prominent companies visiting the campus.
In 2020, the highest salary package was INR 19.5 LPA while the lowest salary package was INR 3.3 LPA.
TIT:
The department of Computer Science and Engineering provides both undergraduate and postgraduate programs for the students enrolled in the university.
The department has exceptional computer connectivity with multimedia kits, advanced servers, and top-notch software systems.
There are technical as well as nontechnical societies for students to join in at the university.
Placements:
SAP Labs, Godrej, Indian Air, Zycus, Nestle India, Bosch, Honeywell, Time, Reliance Industries, etc are some profound companies visiting the TIT campus.
The highest salary package is INR 24 LPA while the average is INR 3.25 LPA.
Oriental University:
The department provides B.Tech, M.Tech, Diploma, and Ph.D. courses for the students in the field of engineering. The teaching process of the university includes visits to the library, communication lab as well as LCD projector lessons.
Placements:
Mankind, Persistent Ltd., Satyam, Syntel, TCS, Tech Mahindra, HCL, Infosys, L T Finance, Lupin, Mahindra Group, etc are some of the many recruiters of the institute.
The highest CTC offered was 4.5 LPA and the lowest CTC offered was 2.5 LPA.
Indore Institute of Science and Technology:
The CSE department is accredited by the NBA.
Students have well-equipped laboratories with updated software and broadband connections.
SIG labs are provided for students to help learn and self learn how computers are evolving.
Placements:
Capital Via, Indus Towers, Just Dial, Amul, Bajaj Allianz, Byju’s, Juspay, Artech Infosystem, KPIT, Daffodil Software, etc are some of the well-known recruiters of IIST.
The highest salary package of the university is INR 12.5 LPA.
These colleges are well-known and have good faculty, education, and placement opportunities. Students can choose their preferred college according to the course they wish to pursue, depending on the availability of seats."
530,KSR College of Engineering,No data found,No data found
531,Loyola Institute of Technology - [LIT],No data found,No data found
532,Lucknow Institute of Technology - [LIT],No data found,No data found
533,Madha Engineering College,No data found,No data found
534,Maharaj Vijayaram Gajapathi Raj College of Engineering - [MVGRCE],No data found,No data found
535,Manav Rachna University - [MRU],No data found,No data found
536,Orissa Engineering College - [OEC],No data found,No data found
537,RD Engineering College,No data found,No data found
538,Sri Indu Institute of Engineering & Technology - [SIIET],No data found,No data found
539,Rajalakshmi Institute of Technology - [RIT],No data found,No data found
540,Rajasthan Institute of Engineering and Technology - [RIET],Which university is better: Poornima University or RIET (Rajasthan Institute of Engineering and Technology)?,"Poornima University being a private institution has a very well structured and organized course. RIET on the other hand, is an engineering college affiliated with RTU and is not a university in itself. 
Here are some facts that makes PU a better choice:
PU unlike RIET provides an updated academic curriculum which caters to the latest industrial trends. 
The curriculum of RTU is becoming obsolete.
PU focuses more on practical training enhancing the students skills.
PU has a well experienced faculty, they are given proper training from industry leads during seminars and internships.
The placements of PU are much better than RIET.
The highest salary package of 37 LPA was offered by Google India to a PU student.
TCS, IBM, Wipro and Infosys take students during mass recruitments.
Categories RIET PU
Course Fee INR 2.31 lakh INR 2.08 lakh
Placement Percentage 75% 80%
Highest CTC 8 LPA 10 LPA
Average CTC 2.4 LPA 4 LPA
Therefore, if you consider every point, PU is definitely better than RIET. It is suggested that you go for PU as it is the best in the city."
541,Rajshree Institute of Management and Technology - [RIMT],No data found,No data found
542,SSM College of Engineering - [SSMCE],No data found,No data found
543,Sam College of Engineering and Technology - [SAMCET],No data found,No data found
544,Sanghvi Institute of Management and Science - [SIMS],No data found,No data found
545,Sarvajanik College of Engineering and Technology - [SCET],No data found,No data found
546,Seacom Engineering College,No data found,No data found
547,Seth Jai Parkash Mukand Lal Institute of Engineering and Technology - [JMIT],No data found,No data found
548,Shah and Anchor Kutchhi Engineering College - [SAKEC],No data found,No data found
549,Sri Indu College of Engineering and Technology - [SICET] Ibrahimpatnam,No data found,No data found
550,Sri Krishna Institute of Technology - [SKIT],No data found,No data found
551,Sriram Engineering College - [SEC],No data found,No data found
552,St. Thomas College of Engineering and Technology- [STC],No data found,No data found
553,Swami Vivekananda Institute of Science and Technology - [SVIST],No data found,No data found
554,Techno International New Town - [TINT],No data found,No data found
555,Theem College of Engineering - [TCOE],No data found,No data found
556,Xavier Institute of Engineering - [XIE],No data found,No data found
557,Velammal Institute of Technology - [VI-Tech],No data found,No data found
558,Vignan's Institute of Information Technology - [VIIT],No data found,No data found
559,Knowledge Institute of Technology - [KIOT],No data found,No data found
560,Vasireddy Venkatadri Institute of Technology - [VVIT],No data found,No data found
561,Sushant University,No data found,No data found
562,William Carey University - [WCU],No data found,No data found
563,Career Point University - [CPU],No data found,No data found
564,SRMIST Delhi NCR Campus,"Which is better in terms of placements: Manipal University (Jaipur), SRM (Ghaziabad), KIIT University, Amity University (Noida) or the IPU colleges?","According to my friend at SRM, the KTR campus of SRM is the best choice. If you consider factors like faculty, placements, and a lot more. The points below will provide you a brief overview of all the institutes stated above and the advantages of SRM over them.
SRM University has three campuses, first in Kattankulathur, second in Ramapuram, and third in Vadapalani. The campus in Kattankulathur (KTR) is marked as the best among them.
In SRM KTR, will make you a real engineer. It has excellent faculty, provides a lot of on-campus placement opportunities, and is also good in extra-curricular activities.
The other two campuses of SRM, Ramapuram, and Vadapalani, are somewhat satisfactory, but not as good as the KTR campus.
Talking about the NCR, the campus is quite far away from Delhi, which results in a lot of travel to and from Delhi on weekends.
The faculty of NCR is not that good and so students have to be dependent on self-study. The placements are decent because it is held in the Chennai (KTR) campus. But, the NCR campus has much lesser fees than the Chennai campus and so, it is considered better.
The Manipal University is called a happening campus, which provides excellent college life, extra-curricular activities, party culture, etc. But, students in Manipal University should be aware of the bad habits on campus and choose friends wisely for the same reason.
The fee structure in Manipal University is also on a slightly higher side. It provides average quality placement to students.
Categories
Manipal University
SRM KTR
SRM NCR
Placement Percentage
80%
95%
More than 50%
Highest CTC
15 LPA
12 LPA
10 LPA
Average CTC
5 LPA
3-4 LPA
5 LPA
Recruiting Companies
Dell, Amazon, etc.
HCL, Infosys, etc.
TCS, Infosys, etc.
Considering all the above points, it can be easily concluded that the SRM KTR campus is the best option."
565,"Chhotubhai Gopalbhai Patel Institute of Technology, Uka Tarsadia University - [CGPIT]",No data found,No data found
566,K.S. School of Engineering and Management- [KSSEM],No data found,No data found
567,Vivekananda Institute of Technology - [VIT],No data found,No data found
568,PERI Institute of Technology - [PERIT],No data found,No data found
569,Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering and Technology - [VPKBIET] Baramati,No data found,No data found
570,Adhiparasakthi College of Engineering Arcot - [APCE],No data found,No data found
571,SRM Institute of Science and Technology Ramapuram Campus,No data found,No data found
572,St. Andrews Institute of Technology and Management - [SAITM],No data found,No data found
573,CMR Technical Campus - [CMRTC],No data found,No data found
574,"SRM, Institute of Technology",No data found,No data found
575,"University College of Engineering, JNTUK",No data found,No data found
576,St.Joseph's Institute of Technology - [SJIT],No data found,No data found
577,Ramco Institute of Technology - [RIT],No data found,No data found
578,ITM Vocational University - [ITMVU],No data found,No data found
579,"Greater Noida Institute of Technology, IPU - [GNIT]",No data found,No data found
580,Netaji Subhas University - [NSU],No data found,No data found
581,Greater Noida Institute of Technology (Engineering Institute),No data found,No data found
582,Arunodaya University,No data found,No data found
583,Shri Guru Ram Rai University - [SGRRU],No data found,No data found
