Serial No.,College Name,Info Data
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"MS Ramaiah University of Applied Sciences (RUAS), Bangalore is committed to work on the philosophy of inclusiveness and service to society and to train its faculty members and students to contribute significantly to the growth of Technology, Science and society through their imaginative, creative and innovative pursuits. University was created by Integrating all the Institutions running under the trust and all Institutions have been converted to the faculties of the University. The university provides various courses at different levels as  in many streams such as Engineering, Design, Science, Commerce, Business Administration, Dental Studies, and Pharmacy courses, etc."
502,Swami Rama Himalayan University - [SRHU],"Swami Rama Himalayan University (SRHU), Dehradun offers more than 100+ UG, PG and Doctoral prorams in various disciplines. The flagship courses are B.Tech(CSE), BBA, B.Com (Hons), BCA at UG level and MBA, MCA, M.Tech. M.Sc across multiple streams at PG level. Admission to courses are on the basis of entrance exams such as JEE Main, NEET, MAT, CAT etc. while for most of them, admission is done through the merit of last qualifying exams."
503,Srinivas University,"Srinivas University, Mangalore is a Private Research and skill-focused University, established in 2013 by Karnataka State Act. Srinivas University is the flagship of 18 Srinivas Group of Institutions started by A. Shama Rao Foundation, Mangalore, India. Srinivas University offers undergraduate, postgraduate, and research courses under 10 colleges with about 160 courses in the discipline of Engineering, Management, Commerce, Aviation, Nursing Science and many more."
504,East West College of Engineering - [EWCE],"The East West College of Engineering, referred to as EWCE, is part of the East West Group of Institutions. EWCE Bangalore offers 5 courses through Bachelor of Engineering program with an intake of 60 students per branch, admissions for which are accepted through Karnataka Common Entrance Test (KCET)."
505,Global Group of Institutes,"Global Group of Institutes is a NAAC A+ Accredited Government approved self-financing institute established in 2008 and offers courses like B. Tech, B. Pharm, BBA, BCA, B.Com, B. Sc (MLS, OTT, Radiology, Anesthesia ), HMCT, BTTM,  etc. at UG level, MBA and MCA at PG level along with Diploma courses in  Engineering, and Pharmacy. The institutes are approved by AICTE, PCI, and affiliated with IKG-Punjab Technical University, Jalandhar."
506,Priyadarshini College of Engineering - [PCE],"Priyadarshini College of Engineering is one of the premier institutes established in the year 1990. It is affiliated to RTM Nagpur University, Nagpur. The college is approved by AICTE. NAAC has accredited this college with an A+ grade. It offers undergraduate, Post-graduate & Research programs across various disciplines in the field of Engineering & Technology. Admission to these courses is as per the rules of State Common Entrance Cell, Govt. of Maharashtra."
507,Jeppiaar Institute of Technology - [JIT],"Jeppiaar Institute of Technology Sriperumbudur, Tamil Nadu is a Christian-minority Institution established in 2011. Out of the 506 Engineering Colleges in Tamil Nadu, affiliated to Anna University, Jeppiaar Institute of Technology Sriperumbudur was ranked at 33, according to the Academic Performance Analysis published by the University Examinations 2016."
508,Seacom Skills University - [SSU],"Seacom Skills University (SSU), Birbhum is a private university established in the year 2014. It is recognized by UGC and approved by AICTE, PCI, and BCI. The University offers various Undergraduate, Postgraduate, and Diploma courses in different disciplines like Engineering, Social Science, Law, Science, Language, Pharmacy, Computer Applications, Agriculture, Commerce, Management, etc. It has state-of-the-art infrastructure and facilities to create a better learning environment."
509,SRM University,"SRM University Amaravati is a Deemed University that was established in the year 2017. The University is a part of the SRM Group and is situated in Guntur, Andhra Pradesh. The university has collaborated with the University of California Berkeley, MIT USA and EFREI France. SRM University Amaravati is a multi-stream research university that offers degree and research programs in diverse fields like Civil Engineering, Computer Science, Electrical and Electronics, Electronics and Communication, and Mechanical Engineering."
510,University of Technology - [UOT],"University of Technology, Jaipur is established through State Legislature under Act No 28 of 2017 by the govt of Rajasthan. UOT Jaipur provides 100% placement assistance to students. The highest package offered was worth INR 7.18 lacs per annum. The university offers degree and doctoral programs in the discipline of Engineering, Polytechnic, Pharmacy, Nursing, etc."
511,CT University - [CTU],"CT University is a private university established in 2017. The university is a multi-disciplinary institution that offers under-graduate, post-graduate, and doctoral level programs in Design & Innovation, Humanities & Physical Education, Agriculture & Natural Sciences, Engineering & Technology, Computer Applications, Pharmaceutical, and Healthcare Sciences, Law, Management Studies, Hotel Management, and Airlines & Tourism."
512,Malla Reddy College of Engineering for Women - [MRCEW],"MRCEW was established on 2008 under the aegis of CES i.e. Chandramma Educational Society. MRCEW offers undergraduate courses in two different streams. The college not only focuses on academics but also focuses on sports life, student life. MRCEW is affiliated to JNTU, Hyderabad and approved by the AICTE, Delhi. MRCEW offers undergraduate course i.e. B.Tech in two different streams. For admission to B.Tech, students are require to appear for the JEE Main entrance exam or TS-EAMCET. In 2018, the Closing rank Cut-off of TS-EAMCET was 92859"
513,Adichunchanagiri University - [ACU],"Adichunchanagiri University, established in the year 2018, has 6 constituent colleges in Medicine, Pharmacy, Nursing, Engineering, Management, Commerce, and Education. The institute offers various Undergraduate, Postgraduate, and Doctoral programs for which the mode of application is online. The admissions are based on both merit and entrance exams."
514,Bhabha University - [BU],"Bhabha University is a private university situated in Bhopal, Madhya Pradesh and was established in 2018 by the Ayushmati Education and Social Society. This university is spread across 27 acres of land. The campus of Bhabha University comes with vaious amenities like auditorium and conference facility, smart classrooms, health centre and seminar hall."
515,Sant Baba Bhag Singh University - [SBBSU],"Sant Baba Bhag Singh University (SBBSU) was set up in 2015 in Jalandhar, by the SBBS Memorial Charitable Society. It is approved by UGC. SBBSU offers undergraduate, post-graduate, doctorate, and certification courses in the fields of Engineering, Sciences, Humanities, Commerce, Management, Fashion Designing, Hotel Management, Tourism, and Law."
516,Shivajirao Kadam Group of Colleges,"Shivajirao Kadam Institute of Technology & Management (SKITM), Indore is under the aegis of the Transnational Knowledge Society, which was founded in 2009. SKITM is an institution led by academicians, founded by Prof. Shivajirao Kadam, Chancellor of Bharati Vidyapeeth Pune, India’s leading University. SKITM is NAAC Grade ‘A’ accredited & ISO Certified for its high quality of education. Shivajirao Kadam Group of Institutions are affiliated to RGPV, Bhopal & DAVV, Indore, and approved by AICTE, PCI & Department of Higher Education MP."
517,Rai University - [RU],"Rai University (RU) Ahmedabad is a self-financed private University which is situated in Ahmedabad, Gujarat and established by the Gujarat State Legislature under Gujarat Act No. 12 of 2012. The University is approved by the Government of Gujarat as well as the Bar Council of India and also is a member of the Association of Indian Universities. Rai University was awarded as the Best Upcoming Private University in the year 2012 by ASSOCHAM. The current strength of Rai University Ahmedabad is 1,383 including male and female students, as well as a strong and diverse faculty of over 75 members."
518,Shri Krishna University - [SKU],"Shri Krishna University(SKU), M.P was set up in the year 2018. The university is recognized by the University Grants Commission(UGC) and approved by the Madhya Pradesh government as one of the prominent learning centers. The university offers a number of Integrated, Diploma, and certificate courses along with the full-time degree courses, regulated under NPE."
519,Anand Institute of Higher Technology - [AIHT],"Anand Institute of Higher Technology, Chennai was established in 2000. It is affiliated to Anna University, Chennai, and all the courses at AIHT are approved by AICTE. AIHT is a sister university of Kalasalingam University."
520,Arunai Engineering College - [AEC],"Arunai Engineering College (AEC) is a private institute established in 1993 at Tiruvannamalai, Tamil Nadu. It is approved by AICTE and is affiliated to Anna University, Chennai. The college offers B.E, B.Tech at the undergraduate level and ME, M.Tech, MBA at the postgraduate level. It has top-class infrastructural facilities and provides financial assistance to students. More than 4500 students are placed in reputed companies."
521,Bharati Vidyapeeth College of Engineering - [BVCOE],"Bharati Vidyapeeth College of Engineering is situated in Kolhapur in the Maharashtra state of India. The college offers 6 courses across 1 stream namely Engineering and 2 degrees like B.Tech and M.Tech. Admission to the college is made on the basis of entrance exams conducted such as MHT CET and JEE Main. The application process for the admission is online. Graduates from the college are placed in Infosys, same corner, TCS, Just Dial, Saankhya Labs, Qspiders, Kirloskar brothers, Amazon, etc. with an average salary package of IRN 1.86 LPA and highest salary package of INR 4.5 LPA."
522,DMI College of Engineering - [DMICE],"DMI College of Engineering was established in the year 2001 and is located in Chennai, Tamilnadu, India. The college has a campus of 55 acres of land. It is affiliated to Anna University, Chennai. The college is accredited by NBA and approved by AICTE."
523,Dayananda Sagar Academy of Technology and Management - [DSATM],"Dayananda Sagar Academy of Technology and Management, Bangalore offers 5 undergraduate as well as 1 postgraduate course. The institute was established in the year 2011 in a vast area of 10 acres. The whole campus is Wi-Fi enabled to ensure internet availability to the students. The institute is affiliated to Visvesvaraya Technological University, approved by AICTE and accredited by NBA. The basic eligibility criteria for UG courses are passing 10+2 and for PG programs, it is a graduation degree from any stream. The admission is based on entrance examinations such as COMEDK UGET, , PGCET, and CAT/XAT/MAT. The college is approved by the NBA, AICTE, UGC, and is ranked 126th in NIRF 2020 for Engineering colleges."
